"","Count_Prefiltered","Percent_Prefiltered","Count_Filtered","Percent_Filtered","Count_Remain","Percent_Remain","Count_Isoforms","Gene_Name"
"1",0,0,53,0.913793103448276,5,0.0862068965517241,58,"TNFRSF14"
"2",1,0.0769230769230769,0,0,12,0.923076923076923,13,"TNFRSF8"
"3",0,0,7,0.184210526315789,31,0.815789473684211,38,"TNFRSF1B"
"4",1,0.0181818181818182,30,0.545454545454545,24,0.436363636363636,55,"LCK"
"5",0,0,4,0.307692307692308,9,0.692307692307692,13,"IL23R"
"6",0,0,7,0.106060606060606,59,0.893939393939394,66,"IL12RB2"
"7",14,0.144329896907216,34,0.350515463917526,49,0.505154639175258,97,"CSF1"
"8",0,0,5,0.217391304347826,18,0.782608695652174,23,"CD53"
"9",2,0.0465116279069767,37,0.86046511627907,4,0.0930232558139535,43,"DDX20"
"10",1,0.0476190476190476,4,0.19047619047619,16,0.761904761904762,21,"CD2"
"11",0,0,0,0,3,1,3,"CD160"
"12",0,0,0,0,31,1,31,"IL6R"
"13",0,0,2,0.5,2,0.5,4,"CD1C"
"14",0,0,0,0,3,1,3,"FCGR2B"
"15",0,0,0,0,8,1,8,"CFH"
"16",0,0,12,0.444444444444444,15,0.555555555555556,27,"TNFRSF18"
"17",1,0.037037037037037,13,0.481481481481481,13,0.481481481481481,27,"TNFRSF4"
"18",14,0.35,5,0.125,21,0.525,40,"TNFRSF9"
"19",10,0.103092783505155,15,0.154639175257732,72,0.742268041237113,97,"ENO1"
"20",27,0.6,2,0.0444444444444444,16,0.355555555555556,45,"PSMB2"
"21",2,0.0392156862745098,2,0.0392156862745098,47,0.92156862745098,51,"EPS15"
"22",31,0.246031746031746,8,0.0634920634920635,87,0.69047619047619,126,"UBQLN4"
"23",0,0,38,0.775510204081633,11,0.224489795918367,49,"FCRL3"
"24",0,0,0,0,2,1,2,"FCRL1"
"25",0,0,0,0,2,1,2,"CD1B"
"26",0,0,3,0.333333333333333,6,0.666666666666667,9,"CD48"
"27",1,0.166666666666667,2,0.333333333333333,3,0.5,6,"CD247"
"28",0,0,0,0,3,1,3,"SELP"
"29",0,0,4,0.235294117647059,13,0.764705882352941,17,"SELL"
"30",11,0.146666666666667,12,0.16,52,0.693333333333333,75,"PTPN7"
"31",2,0.0555555555555556,0,0,34,0.944444444444444,36,"TLR5"
"32",4,0.0727272727272727,7,0.127272727272727,44,0.8,55,"IL2RA"
"33",0,0,0,0,23,1,23,"BLNK"
"34",6,0.0526315789473684,3,0.0263157894736842,105,0.921052631578947,114,"CAT"
"35",16,0.0784313725490196,163,0.799019607843137,25,0.122549019607843,204,"CD44"
"36",1,0.0175438596491228,10,0.175438596491228,46,0.807017543859649,57,"CD82"
"37",17,0.117241379310345,78,0.537931034482759,50,0.344827586206897,145,"CD6"
"38",4,0.19047619047619,3,0.142857142857143,14,0.666666666666667,21,"CD5"
"39",1,0.0714285714285714,4,0.285714285714286,9,0.642857142857143,14,"IL18BP"
"40",2,0.0769230769230769,6,0.230769230769231,18,0.692307692307692,26,"RELT"
"41",1,0.037037037037037,4,0.148148148148148,22,0.814814814814815,27,"IL10RA"
"42",0,0,3,0.272727272727273,8,0.727272727272727,11,"CD3E"
"43",0,0,1,0.2,4,0.8,5,"CD3G"
"44",0,0,1,0.1,9,0.9,10,"CRTAM"
"45",0,0,56,0.96551724137931,2,0.0344827586206897,58,"SIGIRR"
"46",15,0.3125,5,0.104166666666667,28,0.583333333333333,48,"TRAF6"
"47",0,0,0,0,2,1,2,"RASGRP2"
"48",0,0,1,0.142857142857143,6,0.857142857142857,7,"CLCF1"
"49",0,0,0,0,12,1,12,"CD3D"
"50",0,0,3,0.272727272727273,8,0.727272727272727,11,"CD27"
"51",0,0,15,0.681818181818182,7,0.318181818181818,22,"LAG3"
"52",0,0,1,0.0666666666666667,14,0.933333333333333,15,"CD4"
"53",0,0,0,0,4,1,4,"CLEC4A"
"54",0,0,0,0,4,1,4,"CLEC6A"
"55",0,0,40,0.289855072463768,98,0.710144927536232,138,"CLEC2D"
"56",0,0,55,0.533980582524272,48,0.466019417475728,103,"DGKA"
"57",3,0.0491803278688525,48,0.786885245901639,10,0.163934426229508,61,"TBK1"
"58",1,0.0416666666666667,3,0.125,20,0.833333333333333,24,"TNFRSF1A"
"59",0,0,6,0.545454545454545,5,0.454545454545455,11,"C1RL"
"60",0,0,0,0,2,1,2,"CLECL1"
"61",1,0.0769230769230769,7,0.538461538461538,5,0.384615384615385,13,"CD69"
"62",0,0,1,0.5,1,0.5,2,"CLEC2B"
"63",4,0.333333333333333,2,0.166666666666667,6,0.5,12,"CLEC7A"
"64",0,0,4,0.8,1,0.2,5,"TNFRSF19"
"65",0,0,54,0.981818181818182,1,0.0181818181818182,55,"HMGB1"
"66",0,0,17,0.739130434782609,6,0.260869565217391,23,"LGALS3"
"67",7,0.2,12,0.342857142857143,16,0.457142857142857,35,"TNFAIP2"
"68",0,0,10,0.625,6,0.375,16,"GZMB"
"69",0,0,12,0.631578947368421,7,0.368421052631579,19,"CSK"
"70",0,0,84,1,0,0,84,"UBE3A"
"71",0,0,17,0.5,17,0.5,34,"RASGRP1"
"72",0,0,139,0.932885906040268,10,0.0671140939597315,149,"ADAM10"
"73",0,0,0,0,4,1,4,"CLEC16A"
"74",1,0.2,0,0,4,0.8,5,"PRKCB"
"75",1,0.0078740157480315,120,0.94488188976378,6,0.047244094488189,127,"IL4R"
"76",4,0.08,0,0,46,0.92,50,"IL21R"
"77",0,0,38,0.550724637681159,31,0.449275362318841,69,"ITGAL"
"78",1,0.25,0,0,3,0.75,4,"IL27"
"79",1,0.0476190476190476,5,0.238095238095238,15,0.714285714285714,21,"TRADD"
"80",0,0,13,0.928571428571429,1,0.0714285714285714,14,"PSMB10"
"81",0,0,15,0.652173913043478,8,0.347826086956522,23,"LGALS9"
"82",8,0.177777777777778,31,0.688888888888889,6,0.133333333333333,45,"PSMD3"
"83",2,0.04,25,0.5,23,0.46,50,"GRN"
"84",0,0,0,0,16,1,16,"PRKCA"
"85",0,0,2,0.285714285714286,5,0.714285714285714,7,"CD300A"
"86",1,0.1,1,0.1,8,0.8,10,"CXCL16"
"87",0,0,0,0,2,1,2,"TNFRSF13B"
"88",2,0.153846153846154,0,0,11,0.846153846153846,13,"CCL5"
"89",16,0.533333333333333,2,0.0666666666666667,12,0.4,30,"CCR7"
"90",2,0.08,5,0.2,18,0.72,25,"STAT5B"
"91",2,0.0666666666666667,10,0.333333333333333,18,0.6,30,"MAP3K14"
"92",0,0,3,0.5,3,0.5,6,"CD300C"
"93",0,0,0,0,2,1,2,"CD300E"
"94",6,0.133333333333333,29,0.644444444444444,10,0.222222222222222,45,"ICAM1"
"95",5,0.121951219512195,34,0.829268292682927,2,0.0487804878048781,41,"CALR"
"96",4,0.0547945205479452,27,0.36986301369863,42,0.575342465753425,73,"IL27RA"
"97",7,0.0642201834862385,14,0.128440366972477,88,0.807339449541284,109,"CD22"
"98",4,0.0952380952380952,10,0.238095238095238,28,0.666666666666667,42,"PPP5C"
"99",5,0.106382978723404,33,0.702127659574468,9,0.191489361702128,47,"CALM3"
"100",0,0,16,0.727272727272727,6,0.272727272727273,22,"BAX"
"101",0,0,0,0,2,1,2,"CD33"
"102",0,0,6,0.206896551724138,23,0.793103448275862,29,"LILRB1"
"103",0,0,0,0,6,1,6,"LILRA2"
"104",0,0,1,0.5,1,0.5,2,"LILRA1"
"105",1,0.0769230769230769,7,0.538461538461538,5,0.384615384615385,13,"FCER2"
"106",0,0,8,0.285714285714286,20,0.714285714285714,28,"IL12RB1"
"107",0,0,4,0.19047619047619,17,0.80952380952381,21,"TGFB1"
"108",0,0,25,0.806451612903226,6,0.193548387096774,31,"LILRB3"
"109",2,0.181818181818182,5,0.454545454545455,4,0.363636363636364,11,"LILRA6"
"110",0,0,1,0.166666666666667,5,0.833333333333333,6,"LAIR1"
"111",0,0,81,0.920454545454545,7,0.0795454545454545,88,"ZAP70"
"112",0,0,0,0,10,1,10,"IL1R2"
"113",0,0,17,0.361702127659574,30,0.638297872340426,47,"IL18R1"
"114",1,0.0357142857142857,7,0.25,20,0.714285714285714,28,"IL1RN"
"115",0,0,57,0.95,3,0.05,60,"PSMD14"
"116",2,0.0222222222222222,2,0.0222222222222222,86,0.955555555555556,90,"CASP8"
"117",38,0.290076335877863,62,0.473282442748092,31,0.236641221374046,131,"ITGB1BP1"
"118",4,0.036697247706422,8,0.073394495412844,97,0.889908256880734,109,"ADAM17"
"119",0,0,2,0.4,3,0.6,5,"CD8B"
"120",0,0,0,0,3,1,3,"CD302"
"121",1,0.0434782608695652,0,0,22,0.956521739130435,23,"SIRPA"
"122",0,0,1,0.0588235294117647,16,0.941176470588235,17,"CD40"
"123",0,0,7,0.777777777777778,2,0.222222222222222,9,"SIRPB1"
"124",0,0,4,0.8,1,0.2,5,"CST3"
"125",8,0.222222222222222,1,0.0277777777777778,27,0.75,36,"SAMHD1"
"126",1,0.0384615384615385,24,0.923076923076923,1,0.0384615384615385,26,"IL10RB"
"127",8,0.0975609756097561,4,0.0487804878048781,70,0.853658536585366,82,"IFNAR1"
"128",1,0.0192307692307692,51,0.980769230769231,0,0,52,"IFNGR2"
"129",0,0,9,0.138461538461538,56,0.861538461538462,65,"MX1"
"130",0,0,0,0,4,1,4,"ICOSLG"
"131",2,0.0540540540540541,12,0.324324324324324,23,0.621621621621622,37,"IL17RA"
"132",2,0.0869565217391304,2,0.0869565217391304,19,0.826086956521739,23,"IL2RB"
"133",1,0.0238095238095238,18,0.428571428571429,23,0.547619047619048,42,"CSNK1E"
"134",9,0.409090909090909,0,0,13,0.590909090909091,22,"TGFBR2"
"135",6,0.0526315789473684,18,0.157894736842105,90,0.789473684210526,114,"MAPKAPK3"
"136",0,0,59,0.983333333333333,1,0.0166666666666667,60,"PRKCD"
"137",0,0,12,0.363636363636364,21,0.636363636363636,33,"CD96"
"138",0,0,0,0,14,1,14,"CD200"
"139",0,0,0,0,8,1,8,"CD86"
"140",202,0.811244979919679,18,0.072289156626506,29,0.116465863453815,249,"PSMD2"
"141",0,0,32,0.744186046511628,11,0.255813953488372,43,"AZI2"
"142",1,0.0227272727272727,6,0.136363636363636,37,0.840909090909091,44,"CD47"
"143",0,0,0,0,8,1,8,"CD200R1"
"144",3,0.1875,1,0.0625,12,0.75,16,"TNFSF10"
"145",2,0.666666666666667,0,0,1,0.333333333333333,3,"BCL6"
"146",0,0,0,0,5,1,5,"CD38"
"147",0,0,0,0,5,1,5,"CXCL1"
"148",0,0,10,0.555555555555556,8,0.444444444444444,18,"BANK1"
"149",0,0,0,0,7,1,7,"EGF"
"150",0,0,0,0,23,1,23,"IL15"
"151",9,0.3,3,0.1,18,0.6,30,"IL7R"
"152",0,0,25,0.806451612903226,6,0.193548387096774,31,"IL6ST"
"153",1,0.037037037037037,9,0.333333333333333,17,0.62962962962963,27,"LCP2"
"154",3,0.0483870967741935,2,0.032258064516129,57,0.919354838709677,62,"RIPK1"
"155",3,1,0,0,0,0,3,"CFB"
"156",0,0,6,0.352941176470588,11,0.647058823529412,17,"PSMB9"
"157",4,0.1,19,0.475,17,0.425,40,"MAPK14"
"158",0,0,6,0.1875,26,0.8125,32,"CD109"
"159",10,0.303030303030303,0,0,23,0.696969696969697,33,"SERPINB9"
"160",6,0.193548387096774,0,0,25,0.806451612903226,31,"TNFRSF21"
"161",19,0.163793103448276,3,0.0258620689655172,94,0.810344827586207,116,"MAP3K7"
"162",15,0.263157894736842,7,0.12280701754386,35,0.614035087719298,57,"FYN"
"163",16,0.2,12,0.15,52,0.65,80,"IFNGR1"
"164",0,0,0,0,4,1,4,"CD36"
"165",0,0,5,0.15625,27,0.84375,32,"CLEC5A"
"166",1,0.00694444444444444,91,0.631944444444444,52,0.361111111111111,144,"FASTK"
"167",12,0.226415094339623,2,0.0377358490566038,39,0.735849056603774,53,"RIPK2"
"168",8,0.19047619047619,17,0.404761904761905,17,0.404761904761905,42,"TNFRSF10B"
"169",3,0.075,7,0.175,30,0.75,40,"TNFRSF10A"
"170",2,0.0102564102564103,7,0.0358974358974359,186,0.953846153846154,195,"PTK2"
"171",1,0.0294117647058824,1,0.0294117647058824,32,0.941176470588235,34,"JAK2"
"172",4,0.285714285714286,1,0.0714285714285714,9,0.642857142857143,14,"CD274"
"173",0,0,2,0.333333333333333,4,0.666666666666667,6,"CD72"
"174",0,0,7,0.583333333333333,5,0.416666666666667,12,"TNFSF8"
"175",8,0.0824742268041237,45,0.463917525773196,44,0.45360824742268,97,"MAPKAP1"
"176",0,0,0,0,5,1,5,"IL3RA"
"177",1,0.05,4,0.2,15,0.75,20,"CD99"
"178",2,0.0487804878048781,1,0.024390243902439,38,0.926829268292683,41,"IL13RA1"
"179",1,0.1,5,0.5,4,0.4,10,"CFP"
"180",3,0.125,14,0.583333333333333,7,0.291666666666667,24,"IL2RG"
"181",0,0,1,0.25,3,0.75,4,"BTK"
"182",23,0.48936170212766,2,0.0425531914893617,22,0.468085106382979,47,"CD99L2"
